name,redirect_url
drive,https://drive.google.com/drive/folders/1b7UETKTywan4XfxzeRsWvH1ajMGF2IEQ
närvaro,https://docs.google.com/spreadsheets/d/1vjhbL8dCVlzkCOTciQyPyd1d8v-Q7l_00u3fNnMqxDc
i1,https://www.instagram.com/pq_officiell
i2,https://www.instagram.com/pqbussen
