sv_name,sv_title,en_name,en_title
,Hem,,Home
historia,Historia,history,History
konsert,Konserter och framträdanden,concert,Concerts and shows
buss,Bussen,bus,Bus
ga-med,Gå med,join-us,Join us
boka,Boka,book-us,Book us
